,TrainA,TrainB,TrainC,TrainHC
0,11,1,5,-1
1,1,10,10,-1
2,1,11,8,-1
3,2,5,1,-1
4,7,4,9,8
5,1,0,12,-1
6,6,8,13,-1
7,4,12,0,-1
8,1,10,12,-1
9,8,6,0,-1
10,8,7,8,-1
11,4,3,7,6
12,2,11,10,-1
13,9,3,8,-1
14,5,2,3,-1
15,6,1,9,-1
16,0,12,11,-1
17,3,13,6,-1
18,3,7,3,7
19,5,14,1,-1
20,4,2,11,-1
21,6,11,0,-1
22,1,3,4,-1
23,12,1,2,-1
24,5,1,14,-1
25,1,7,1,6
26,9,6,9,-1
27,6,13,3,-1
28,9,0,11,-1
29,6,10,4,-1
30,13,6,7,-1
31,3,3,1,-1
32,8,6,14,8
33,5,5,4,-1
34,4,9,9,-1
35,12,2,5,-1
36,8,11,0,-1
37,7,7,9,-1
38,11,0,5,-1
39,7,7,2,6
40,5,13,11,-1
41,14,12,2,-1
42,10,6,3,-1
43,12,3,10,-1
44,1,11,0,-1
45,1,13,6,-1
46,14,3,5,6
47,10,9,4,-1
48,9,1,9,-1
49,13,2,13,-1
50,4,13,8,-1
51,8,7,6,-1
52,10,9,0,-1
53,9,7,11,9
54,0,8,1,-1
55,12,10,8,-1
56,11,0,6,-1
57,13,6,12,-1
58,12,8,14,-1
59,0,3,6,-1
60,8,4,8,8
61,12,0,7,-1
62,8,11,10,-1
63,4,1,0,-1
64,13,14,11,-1
65,2,5,5,-1
66,11,12,8,-1
67,9,7,3,9
68,6,13,4,-1
69,10,13,9,-1
70,5,6,6,-1
71,4,13,10,-1
72,10,6,1,-1
73,4,8,14,-1
74,10,3,12,7
75,14,8,5,-1
76,4,1,0,-1
77,12,9,12,-1
78,11,2,9,-1
79,12,1,13,-1
80,10,13,5,-1
81,3,2,9,9
82,11,0,4,-1
83,11,8,0,-1
84,3,5,1,-1
85,7,12,6,-1
86,1,1,10,-1
87,6,6,3,-1
88,7,7,6,8
89,6,3,2,-1
90,2,12,11,-1
91,4,10,5,-1
92,5,14,1,-1
93,9,1,2,-1
94,7,2,13,-1
95,1,8,9,8
96,3,1,2,-1
97,6,0,13,-1
98,7,8,12,-1
99,6,5,10,-1
100,6,2,14,-1
101,0,11,12,-1
102,1,7,6,7
103,5,7,2,-1
104,9,13,3,-1
105,13,2,4,-1
106,12,10,9,-1
107,5,13,8,-1
108,7,8,10,-1
109,4,13,9,7
110,11,14,6,-1
111,1,2,2,-1
112,5,9,1,-1
113,10,0,11,-1
114,4,4,8,-1
115,2,13,13,-1
116,3,0,11,6
117,11,13,12,-1
118,4,6,11,-1
119,12,3,13,-1
120,13,6,12,-1
121,7,11,12,-1
122,1,3,10,-1
123,10,2,3,7
124,13,4,6,-1
125,7,14,6,-1
126,12,3,3,-1
127,6,14,14,-1
128,13,0,9,-1
129,11,3,6,-1
130,11,6,9,7
131,6,10,3,-1
132,5,1,14,-1
133,1,0,0,-1
134,9,10,4,-1
135,1,4,14,-1
136,3,5,7,-1
137,13,13,9,9
138,9,3,1,-1
139,7,14,9,-1
140,2,13,4,-1
141,6,9,0,-1
142,0,9,7,-1
143,4,2,0,-1
144,12,8,13,7
145,7,14,3,-1
146,0,6,10,-1
147,12,0,1,-1
148,14,6,12,-1
149,14,0,2,-1
150,13,13,11,-1
151,11,1,8,8
152,0,8,1,-1
153,5,11,12,-1
154,7,7,7,-1
155,3,4,8,-1
156,11,8,7,-1
157,14,14,12,-1
158,6,14,9,9
159,1,0,14,-1
160,6,4,3,-1
161,9,12,0,-1
162,3,10,5,-1
163,7,8,4,-1
164,9,8,7,-1
165,4,6,13,7
166,13,14,14,-1
167,5,5,0,-1
168,7,1,12,-1
169,9,1,11,-1
170,8,14,4,-1
171,8,5,7,-1
172,4,3,9,8
173,0,14,11,-1
174,4,9,6,-1
175,8,7,8,-1
176,6,0,0,-1
177,2,12,6,-1
178,14,9,10,-1
179,11,12,12,7
180,7,9,14,-1
181,4,9,6,-1
182,1,12,6,-1
183,5,8,3,-1
184,14,14,0,-1
185,12,13,6,-1
186,1,10,1,6
187,5,6,5,-1
188,1,7,4,-1
189,1,0,9,-1
190,8,10,1,-1
191,2,4,8,-1
192,10,1,3,-1
193,3,12,12,8
194,2,4,6,-1
195,8,12,2,-1
196,6,9,13,-1
197,3,14,14,-1
198,8,12,7,-1
199,3,0,6,-1
200,7,1,2,6
201,11,12,14,-1
202,2,10,14,-1
203,3,6,5,-1
204,11,3,6,-1
205,8,7,1,-1
206,2,11,4,-1
207,14,1,1,6
208,0,3,13,-1
209,10,10,8,-1
210,2,12,13,-1
211,11,13,14,-1
212,9,11,13,-1
213,0,4,6,-1
214,5,8,5,9
215,6,6,2,-1
216,6,2,7,-1
217,4,9,3,-1
218,11,13,2,-1
219,2,12,2,-1
220,13,8,11,-1
221,8,11,3,7
222,7,11,11,-1
223,4,5,3,-1
224,8,3,9,-1
225,4,6,11,-1
226,12,10,1,-1
227,13,5,2,-1
228,13,2,7,8
229,0,1,1,-1
230,7,3,8,-1
231,9,2,8,-1
232,3,13,10,-1
233,5,14,4,-1
234,1,11,11,-1
235,6,13,3,6
236,14,6,6,-1
237,13,12,6,-1
238,11,6,4,-1
239,9,2,12,-1
240,10,10,10,-1
241,11,6,5,-1
242,7,4,14,8
243,5,13,11,-1
244,5,12,1,-1
245,7,5,11,-1
246,1,5,7,-1
247,2,5,1,-1
248,5,3,1,-1
249,7,1,11,9
250,13,3,6,-1
251,2,12,2,-1
252,13,0,9,-1
253,14,14,13,-1
254,4,4,4,-1
255,5,0,0,-1
256,2,4,8,7
257,10,11,0,-1
258,14,1,7,-1
259,14,5,3,-1
260,12,10,10,-1
261,3,11,3,-1
262,7,4,2,-1
263,10,4,1,8
264,10,1,13,-1
265,13,9,14,-1
266,14,5,10,-1
267,1,8,2,-1
268,1,5,12,-1
269,11,14,11,-1
270,2,6,12,6
271,13,10,1,-1
272,10,1,11,-1
273,7,7,12,-1
274,12,3,14,-1
275,9,8,13,-1
276,3,5,10,-1
277,3,8,12,8
278,10,11,8,-1
279,0,12,2,-1
280,9,7,13,-1
281,8,0,10,-1
282,2,4,10,-1
283,14,1,9,-1
284,6,8,1,6
285,14,0,2,-1
286,0,4,9,-1
287,3,3,9,-1
288,14,5,8,-1
289,7,0,4,-1
290,6,13,6,-1
291,12,13,2,8
292,1,8,13,-1
293,2,11,10,-1
294,4,12,4,-1
295,9,14,9,-1
296,14,4,11,-1
297,3,3,5,-1
298,0,2,2,8
299,5,5,11,-1
300,8,14,0,-1
301,13,14,2,-1
302,9,3,12,-1
303,6,11,12,-1
304,1,3,12,-1
305,14,14,0,7
306,4,14,9,-1
307,10,2,4,-1
308,3,9,8,-1
309,0,9,4,-1
310,11,5,11,-1
311,2,12,13,-1
312,6,1,4,8
313,9,14,9,-1
314,10,1,0,-1
315,2,11,8,-1
