,TrainA,TrainB,TrainC,TrainHC,Crews,Crew Wages,Demurrage Fees,Total Cost
0,14,12,20,-1,2,252000,0,252000
1,12,13,9,-1,2,288000,30000,318000
2,7,18,6,-1,2,255000,15000,270000
3,16,18,6,-1,2,207000,0,207000
4,14,19,10,13,2,348000,105000,453000
5,16,7,8,-1,2,264000,15000,279000
6,15,20,5,-1,1,216000,0,216000
7,18,20,10,-1,2,234000,0,234000
8,9,5,13,-1,2,252000,15000,267000
9,16,15,9,-1,2,219000,15000,234000
10,9,20,15,-1,1,189000,0,189000
11,13,5,15,13,2,312000,45000,357000
12,12,18,13,-1,2,237000,15000,252000
13,17,15,10,-1,2,243000,0,243000
14,7,13,19,-1,1,216000,0,216000
15,15,5,20,-1,1,216000,0,216000
16,20,6,5,-1,2,264000,15000,279000
17,12,5,11,-1,2,255000,15000,270000
18,15,6,17,11,2,324000,30000,354000
19,7,17,11,-1,1,216000,0,216000
20,12,17,7,-1,1,216000,0,216000
21,9,18,13,-1,1,216000,0,216000
22,6,7,19,-1,2,264000,15000,279000
23,7,17,5,-1,2,252000,0,252000
24,19,15,12,-1,2,171000,0,171000
25,20,10,6,12,2,360000,325000,685000
26,12,7,18,-1,1,216000,0,216000
27,9,8,19,-1,2,246000,15000,261000
28,16,19,15,-1,2,198000,15000,213000
29,16,18,10,-1,2,252000,0,252000
30,7,17,10,-1,2,252000,0,252000
31,17,11,10,-1,2,219000,15000,234000
32,18,7,14,11,2,360000,60000,420000
33,5,8,20,-1,2,264000,15000,279000
34,18,16,7,-1,2,252000,0,252000
35,14,16,11,-1,2,222000,0,222000
36,7,14,6,-1,2,264000,15000,279000
37,6,16,12,-1,1,198000,0,198000
38,19,11,18,-1,2,219000,15000,234000
39,7,9,8,13,2,396000,315000,711000
40,7,13,16,-1,2,264000,15000,279000
41,14,13,10,-1,2,249000,15000,264000
42,7,5,6,-1,2,300000,45000,345000
43,14,20,6,-1,1,162000,0,162000
44,7,18,5,-1,2,252000,0,252000
45,14,6,15,-1,2,237000,15000,252000
46,7,17,18,11,2,324000,30000,354000
47,14,11,9,-1,2,288000,15000,303000
48,17,15,6,-1,2,234000,0,234000
49,19,11,12,-1,2,201000,15000,216000
50,18,8,16,-1,2,252000,0,252000
51,20,15,8,-1,1,189000,0,189000
52,11,10,7,-1,2,288000,30000,318000
53,19,7,20,13,2,312000,15000,327000
54,16,13,6,-1,2,276000,30000,306000
55,9,16,20,-1,1,207000,0,207000
56,17,16,19,-1,2,225000,30000,255000
57,12,20,8,-1,1,216000,0,216000
58,13,16,12,-1,2,279000,15000,294000
59,8,13,7,-1,2,264000,15000,279000
60,11,13,14,13,2,300000,75000,375000
61,17,18,7,-1,2,228000,15000,243000
62,5,8,7,-1,2,288000,30000,318000
63,18,15,10,-1,2,162000,0,162000
64,5,20,10,-1,1,216000,0,216000
65,17,18,9,-1,2,255000,15000,270000
66,5,9,6,-1,2,300000,30000,330000
67,17,7,19,12,2,300000,0,300000
68,14,9,10,-1,2,264000,15000,279000
69,10,16,11,-1,2,228000,15000,243000
70,12,19,7,-1,1,216000,0,216000
71,10,7,19,-1,2,252000,0,252000
72,5,13,9,-1,1,216000,0,216000
73,11,9,15,-1,2,216000,0,216000
74,16,12,8,11,2,360000,165000,525000
75,8,12,7,-1,2,312000,45000,357000
76,17,5,7,-1,2,243000,0,243000
77,13,8,5,-1,2,225000,0,225000
78,13,17,11,-1,2,180000,0,180000
79,11,14,9,-1,2,243000,0,243000
80,17,19,6,-1,2,225000,0,225000
81,13,17,19,11,2,348000,45000,393000
82,15,7,6,-1,2,276000,30000,306000
83,6,13,19,-1,1,216000,0,216000
84,20,15,8,-1,1,207000,0,207000
85,17,5,20,-1,2,243000,0,243000
86,8,17,19,-1,2,234000,0,234000
87,20,7,15,-1,1,207000,0,207000
88,16,19,20,11,2,324000,45000,369000
89,7,10,16,-1,2,252000,0,252000
90,18,12,7,-1,1,198000,0,198000
91,6,17,13,-1,1,216000,0,216000
92,13,12,20,-1,2,219000,15000,234000
93,11,14,12,-1,2,270000,30000,300000
94,18,17,19,-1,2,189000,30000,219000
95,13,10,5,13,2,348000,215000,563000
96,13,18,6,-1,1,216000,0,216000
97,19,17,14,-1,2,231000,0,231000
98,6,5,15,-1,2,276000,30000,306000
99,19,15,5,-1,1,207000,0,207000
100,7,14,15,-1,2,264000,15000,279000
101,6,12,13,-1,2,246000,15000,261000
102,16,5,11,13,2,324000,90000,414000
103,13,12,16,-1,2,270000,15000,285000
104,20,7,11,-1,1,216000,0,216000
105,15,14,6,-1,2,264000,15000,279000
106,7,9,14,-1,2,225000,0,225000
107,13,14,18,-1,2,183000,15000,198000
108,15,12,10,-1,2,252000,0,252000
109,13,5,7,12,2,372000,240000,612000
110,11,14,8,-1,2,288000,15000,303000
111,16,9,8,-1,2,237000,15000,252000
112,9,13,20,-1,1,180000,0,180000
113,18,19,8,-1,2,255000,15000,270000
114,7,18,12,-1,1,216000,0,216000
115,14,12,9,-1,2,258000,0,258000
116,15,5,9,13,2,336000,200000,536000
117,5,19,8,-1,2,264000,15000,279000
